	revid	editor	datetime	title
115	62328812	79.90.180.238	2011-02-16T06:48:51	Rhône-Alpes
116	94288124	90.57.61.167	2013-06-21T21:09:45	Rê
117	91511326	64.62.201.4	2013-03-31T04:04:15	Rome antique
118	98507944	82.226.167.240	2013-11-20T16:19:47	Seine-et-Marne
119	129774257	176.126.237.217	2016-09-20T09:34:27	Sport
120	100544105	65.94.127.93	2014-01-23T23:45:36	Santiago
121	96172954	93.115.84.195	2013-08-27T10:07:27	Sahara
122	77031236	90.13.100.39	2012-03-26T15:28:30	Seconde Guerre mondiale
123	77031249	90.13.100.39	2012-03-26T15:29:08	Seconde Guerre mondiale
124	74833355	81.251.22.47	2012-01-27T22:30:32	Séville
125	74834151	81.251.22.47	2012-01-27T22:59:13	Séville
126	74834193	81.251.22.47	2012-01-27T23:00:47	Séville
127	74834214	81.251.22.47	2012-01-27T23:01:27	Séville
128	59190817	77.207.63.206	2010-11-14T01:05:21	Système de positionnement par satellites
129	71093334	88.182.223.7	2011-10-14T23:46:21	Skinhead
130	72413941	96.22.48.23	2011-11-23T01:03:24	Stanislas Lem
131	67041831	80.58.205.41	2011-07-02T15:32:10	Télévision numérique terrestre
132	84646937	90.59.167.191	2012-10-27T17:15:05	Télévision
133	86075791	78.234.188.135	2012-12-03T16:48:08	Terre
134	118922625	46.218.9.58	2015-09-24T11:15:27	Unix
135	118922641	46.218.9.58	2015-09-24T11:15:57	Unix
136	98508154	82.226.167.240	2013-11-20T16:27:39	Val-de-Marne
137	124401427	213.152.162.114	2016-03-15T23:14:25	Wasabi
138	124401437	213.152.162.114	2016-03-15T23:14:45	Wasabi
139	144155531	90.34.5.80	2018-01-04T14:32:15	Microsoft Windows
140	72815661	82.137.200.52	2011-12-04T21:37:33	Windows 98
141	115197680	90.38.123.183	2015-05-20T15:31:18	Warhammer
142	105424043	88.219.191.8	2014-07-14T09:04:28	XVIIIe siècle
143	104385236	90.1.11.19	2014-06-04T20:38:01	Yvelines
144	78884835	91.178.114.145	2012-05-20T10:15:27	1985
145	78885679	91.178.114.145	2012-05-20T10:38:36	1985
146	100844893	90.35.41.43	2014-02-02T17:14:22	1997
147	113510819	80.13.81.226	2015-04-03T13:02:39	1979
148	97563015	90.2.229.181	2013-10-18T08:27:10	18 octobre
149	121050917	88.219.191.61	2015-12-04T15:19:58	8 mai
150	121056403	88.219.191.61	2015-12-04T19:07:40	8 mai
151	67496070	90.2.200.92	2011-07-16T12:02:51	8 septembre
152	57874404	80.58.205.106	2010-10-08T14:19:34	1er mars
153	145333404	84.74.84.203	2018-02-09T18:48:15	4 décembre
154	71766934	83.112.31.153	2011-11-04T13:23:30	5 mai
155	71766982	83.112.31.153	2011-11-04T13:24:58	5 mai
156	105080270	83.134.219.245	2014-06-30T13:59:27	7 janvier
157	86527759	109.214.21.164	2012-12-14T14:37:50	11 février
158	126704761	86.98.11.38	2016-06-02T05:01:08	27 février
159	135271042	90.9.82.254	2017-03-09T21:37:35	9 mars
160	120022655	88.219.191.62	2015-10-30T23:42:24	11 mars
161	120045406	88.219.191.62	2015-10-31T18:45:55	10 avril
162	64548415	90.2.201.244	2011-04-21T09:10:20	28 avril
163	64548493	90.2.201.244	2011-04-21T09:13:22	28 avril
164	64548584	90.2.201.244	2011-04-21T09:17:16	28 avril
165	64548702	90.2.201.244	2011-04-21T09:21:20	28 avril
166	53048311	64.62.196.24	2010-05-08T09:53:18	9 mai
167	67496673	90.2.200.92	2011-07-16T12:28:00	9 septembre
168	99051242	77.194.156.139	2013-12-09T12:52:35	9 décembre
169	67496097	90.2.200.92	2011-07-16T12:03:52	7 septembre
170	67496164	90.2.200.92	2011-07-16T12:06:36	7 septembre
171	67496218	90.2.200.92	2011-07-16T12:08:30	7 septembre
172	67496345	90.2.200.92	2011-07-16T12:13:18	7 septembre
173	67496426	90.2.200.92	2011-07-16T12:17:15	7 septembre
174	67496459	90.2.200.92	2011-07-16T12:19:04	7 septembre
175	67496500	90.2.200.92	2011-07-16T12:20:49	7 septembre
176	67496548	90.2.200.92	2011-07-16T12:22:34	7 septembre
177	67496609	90.2.200.92	2011-07-16T12:25:33	7 septembre
178	56784674	41.189.51.161	2010-09-04T08:55:11	10 septembre
179	69341309	209.236.66.108	2011-09-07T16:58:28	12 octobre
180	69341381	209.236.66.108	2011-09-07T17:00:55	12 octobre
181	120536588	88.219.191.61	2015-11-15T21:01:36	12 décembre
182	97523348	90.2.139.190	2013-10-16T15:26:05	15 octobre
183	97523621	90.2.139.190	2013-10-16T15:36:21	15 octobre
184	97523691	90.2.139.190	2013-10-16T15:38:36	15 octobre
185	69341367	209.236.66.108	2011-09-07T17:00:42	19 octobre
186	86758904	78.250.171.153	2012-12-20T17:32:02	22 juillet
187	125573862	78.126.34.71	2016-04-24T16:58:12	23 octobre
188	83345943	90.2.141.152	2012-09-24T15:04:23	24 septembre
189	92621408	92.146.29.169	2013-04-30T14:29:47	24 novembre
190	83346282	90.2.141.152	2012-09-24T15:13:22	25 septembre
191	102183808	90.7.104.156	2014-03-19T10:44:53	Église de Jésus-Christ des saints des derniers jours
192	54037300	193.107.16.217	2010-06-06T23:48:30	Économie de l'Argentine
193	66090247	82.244.76.174	2011-06-05T21:03:06	Pierre de Rosette
194	120050481	88.219.191.62	2015-10-31T22:22:05	Liste de saints catholiques
195	120050537	88.219.191.62	2015-10-31T22:24:45	Liste de saints catholiques
196	120050547	88.219.191.62	2015-10-31T22:25:21	Liste de saints catholiques
197	120050634	88.219.191.62	2015-10-31T22:29:19	Liste de saints catholiques
198	126254929	109.173.59.108	2016-05-17T14:31:44	Liste de saints catholiques
199	59000890	79.83.31.35	2010-11-09T18:48:19	Groupe Proximus
200	88316581	217.70.144.63	2013-02-02T12:45:45	Samouraï
201	93887233	90.54.190.176	2013-06-08T18:01:34	Années 1960
202	79341890	80.58.205.54	2012-06-02T06:09:43	Sang
203	111286097	88.123.232.3	2015-01-26T17:07:50	Déclinaisons latines
204	72966789	90.29.128.250	2011-12-09T08:48:25	Ciudad Juárez
205	72966824	90.29.128.250	2011-12-09T08:49:55	Ciudad Juárez
206	111335152	78.250.51.228	2015-01-28T10:31:07	Langues berbères
207	73148641	82.239.236.193	2011-12-14T18:18:43	Structured Query Language
208	55637619	86.73.24.145	2010-07-28T15:20:58	Daniel Pennac
209	113706763	88.219.191.45	2015-04-10T06:57:28	Poire
210	113708260	88.219.191.45	2015-04-10T08:18:59	Poire
211	113708443	88.219.191.45	2015-04-10T08:26:42	Poire
212	113708623	88.219.191.45	2015-04-10T08:35:07	Poire
213	113709572	88.219.191.45	2015-04-10T09:12:08	Poire
214	113709604	88.219.191.45	2015-04-10T09:13:30	Poire
215	113714708	88.219.191.45	2015-04-10T12:16:53	Poire
216	113734862	88.219.191.45	2015-04-11T01:26:08	Poire
217	113734913	88.219.191.45	2015-04-11T01:34:40	Poire
218	124872750	89.3.86.172	2016-03-31T12:08:04	Vampire
219	86920527	88.168.136.4	2012-12-26T00:19:19	Discussion:Couche physique
220	86920553	88.168.136.4	2012-12-26T00:21:02	Discussion:Couche physique
221	60469338	86.207.114.220	2010-12-22T16:14:37	Février
222	71677508	78.250.50.127	2011-11-01T18:36:56	Lion
223	61588506	207.162.116.1	2011-01-24T15:06:55	RAID (informatique)
224	78596028	109.212.12.145	2012-05-11T22:29:45	RAID (informatique)
225	96895231	78.250.4.13	2013-09-22T16:08:56	Orion (constellation)
226	79144965	90.36.32.79	2012-05-27T19:57:16	Harki
227	79145133	90.36.32.79	2012-05-27T20:02:51	Harki
228	110495127	88.171.81.129	2015-01-02T13:31:51	Épistémologie
229	115255559	88.171.81.129	2015-05-22T13:25:08	Épistémologie
230	71070216	90.40.235.34	2011-10-14T08:43:33	Clément Ader
231	91730572	85.171.229.78	2013-04-05T18:09:57	Mérida (Espagne)
232	125392099	88.123.232.3	2016-04-18T11:25:12	Mérida (Espagne)
233	79426986	86.130.40.101	2012-06-04T11:00:26	Drapeau
234	79434270	86.130.40.101	2012-06-04T13:17:29	Drapeau
235	61442420	93.23.69.99	2011-01-19T20:03:46	Zodiaque
236	86761253	68.69.169.131	2012-12-20T18:46:12	Amélie Nothomb
237	63170155	90.52.70.17	2011-03-13T21:26:31	Mont Blanc
238	63170210	90.52.70.17	2011-03-13T21:28:45	Mont Blanc
239	75211666	78.238.200.181	2012-02-05T22:38:45	Le Capitaine Fracasse
240	75500491	78.238.200.181	2012-02-12T14:17:50	Le Capitaine Fracasse
241	75500709	78.238.200.181	2012-02-12T14:21:52	Le Capitaine Fracasse
242	113364818	78.53.11.66	2015-03-29T16:53:04	Berlin
243	114838143	88.219.191.2	2015-05-08T16:13:40	Étamine
244	96847723	81.243.168.104	2013-09-21T08:24:40	Pythagore
245	136969867	86.210.114.252	2017-05-01T12:00:59	Blaise Pascal
246	84711832	92.144.99.63	2012-10-29T08:35:03	Michel Tournier
247	130639598	87.89.33.126	2016-10-13T17:23:24	Michel Tournier
248	124649843	176.126.237.217	2016-03-23T19:58:37	Pierre Boulez
249	88046743	84.19.165.218	2013-01-25T20:33:51	Louis-Ferdinand Céline
250	92559092	109.130.67.20	2013-04-28T15:45:37	Thalès
251	84827716	46.246.116.245	2012-11-01T13:33:26	Antispécisme
252	56571117	109.130.100.199	2010-08-28T13:00:46	Années 2000
253	128444903	86.63.237.131	2016-08-06T23:13:09	Pizza
254	82935759	129.194.8.73	2012-09-12T11:05:51	Thermodynamique
255	78577614	90.22.172.194	2012-05-11T11:50:54	Hawaï
256	93098521	90.59.167.190	2013-05-15T06:28:08	Hawaï
257	137415202	81.62.9.46	2017-05-17T12:54:51	Hawaï
258	72468199	109.210.251.230	2011-11-24T19:27:09	Maine (États-Unis)
259	72722038	129.194.8.73	2011-12-02T10:46:38	Conseil fédéral (Suisse)
260	138859805	86.68.78.24	2017-07-11T08:03:49	Tours
261	71278589	90.37.45.254	2011-10-20T20:28:06	Pas de Calais
262	74257216	90.54.186.140	2012-01-12T17:49:35	Metz
263	111840244	77.6.170.170	2015-02-14T13:34:29	Metz
264	103870202	81.251.132.138	2014-05-16T20:29:58	Nancy
265	90185267	90.9.38.84	2013-03-14T19:58:07	Clermont-Ferrand
266	63818369	82.255.49.77	2011-03-30T05:19:12	Puissance (physique)
267	63547485	79.81.148.194	2011-03-22T18:14:45	Pascal
268	121457542	81.220.221.239	2015-12-19T20:44:31	Démon
269	77474145	178.73.218.43	2012-04-08T23:55:39	Triangle
270	77474161	178.73.218.43	2012-04-08T23:57:18	Triangle
271	77474311	178.73.218.43	2012-04-09T00:07:44	Triangle
272	101819651	77.234.44.138	2014-03-05T19:19:14	Venise
273	76383964	41.104.30.3	2012-03-06T19:00:48	Yoshihiro Togashi
274	104532583	92.148.85.147	2014-06-10T07:27:21	Jean Racine
275	101337803	213.189.173.227	2014-02-17T14:23:51	J. R. R. Tolkien
276	119909464	88.219.191.62	2015-10-27T11:09:08	Liste des monarques de France
277	102425626	88.219.191.114	2014-03-28T01:48:17	Louis VI le Gros
278	119686258	88.219.191.62	2015-10-21T12:57:56	Louis IX
279	60994673	78.234.188.135	2011-01-06T17:36:06	Challenger (navette spatiale)
280	70658188	195.240.175.88	2011-10-01T20:40:30	Pierre-André Taguieff
281	109278327	46.218.9.58	2014-11-20T10:36:21	Clavier d'ordinateur
282	139541291	88.219.191.71	2017-08-06T13:51:11	Clavier d'ordinateur
283	57710202	81.51.251.82	2010-10-03T10:21:13	Archimède
284	67297762	88.160.248.39	2011-07-09T22:31:54	Pretty Good Privacy
285	67297774	88.160.248.39	2011-07-09T22:32:21	Pretty Good Privacy
286	67298640	88.160.248.39	2011-07-09T23:19:54	Pretty Good Privacy
287	100012948	90.63.19.222	2014-01-07T17:33:07	Libertés sur Internet
288	100013292	90.63.19.222	2014-01-07T17:40:56	Libertés sur Internet
289	100013445	90.63.19.222	2014-01-07T17:45:01	Libertés sur Internet
290	100037394	90.63.19.222	2014-01-08T11:35:29	Libertés sur Internet
291	66931381	77.201.68.213	2011-06-29T13:10:17	Besançon
292	66933585	77.201.68.213	2011-06-29T14:20:05	Besançon
293	125837837	84.101.156.36	2016-05-03T08:27:24	Besançon
294	119360594	78.124.110.241	2015-10-09T23:39:52	Micronation
295	59984682	88.173.85.71	2010-12-07T07:48:22	Poitiers
296	54346600	85.237.212.14	2010-06-16T09:43:44	Troyes
297	120435188	88.219.191.61	2015-11-12T13:51:32	Troyes
298	120435411	88.219.191.61	2015-11-12T13:56:52	Troyes
299	120435559	88.219.191.61	2015-11-12T14:00:38	Troyes
300	120436255	88.219.191.61	2015-11-12T14:19:10	Troyes
301	120437925	88.219.191.61	2015-11-12T15:04:58	Troyes
302	120438035	88.219.191.61	2015-11-12T15:08:13	Troyes
303	120440666	88.219.191.61	2015-11-12T16:16:32	Troyes
304	120441347	88.219.191.61	2015-11-12T16:39:30	Troyes
305	76305548	90.50.226.250	2012-03-04T09:59:12	La Rochelle
306	99157843	88.219.191.115	2013-12-12T11:42:24	La Rochelle
307	99160951	88.219.191.115	2013-12-12T13:36:07	La Rochelle
308	99164857	88.219.191.115	2013-12-12T15:11:41	La Rochelle
309	99173668	88.219.191.115	2013-12-12T19:09:42	La Rochelle
310	99173937	88.219.191.115	2013-12-12T19:16:06	La Rochelle
311	99174336	88.219.191.115	2013-12-12T19:27:09	La Rochelle
312	99177548	88.219.191.115	2013-12-12T21:11:00	La Rochelle
313	99177700	88.219.191.115	2013-12-12T21:17:46	La Rochelle
314	69843391	80.236.227.253	2011-09-18T07:12:37	Légume
315	55937034	38.108.126.172	2010-08-07T17:01:58	Yves Bur
316	55937326	208.53.142.42	2010-08-07T17:12:44	Yves Bur
317	121762112	84.100.103.78	2015-12-31T11:59:59	Luc Chatel
318	85673430	88.86.31.175	2012-11-23T14:48:18	Syrie
319	94811685	92.153.6.188	2013-07-09T09:57:24	Tonga
320	94811725	92.153.6.188	2013-07-09T09:58:42	Tonga
321	112469494	90.36.188.150	2015-03-06T00:37:46	Saint-Vincent-et-les-Grenadines
322	69761403	90.26.21.60	2011-09-16T21:31:57	Sainte-Lucie
323	112469430	90.36.188.150	2015-03-06T00:34:22	Sainte-Lucie
324	78610446	204.12.227.110	2012-05-12T12:49:18	François Hollande
325	78610482	204.12.227.110	2012-05-12T12:50:08	François Hollande
326	78337311	129.194.8.73	2012-05-04T13:36:04	Mollusca
327	102555366	41.202.94.29	2014-04-01T21:25:04	Stockage d'information
328	74583186	109.64.223.112	2012-01-20T23:25:18	Alain Joyandet
329	57677016	89.170.61.62	2010-10-02T09:44:57	Michel Berger
330	79001159	90.22.72.61	2012-05-23T15:34:52	Nathalie Kosciusko-Morizet
331	57708681	90.13.105.227	2010-10-03T09:30:51	Arthur Rimbaud
332	145664025	92.133.41.51	2018-02-19T21:01:29	Jean-Yves Le Drian
333	95463758	90.25.248.7	2013-08-01T13:07:28	Marie-Anne Montchamp
334	95526013	90.25.248.7	2013-08-03T17:43:44	Marie-Anne Montchamp
335	61792952	88.141.46.56	2011-01-30T19:45:11	Arnaud Montebourg
336	120018268	88.219.191.62	2015-10-30T21:00:33	1423
337	110810666	92.135.104.194	2015-01-11T16:46:59	Écosse
338	84406331	86.214.111.4	2012-10-21T18:51:01	Quimper
339	85495339	78.251.243.163	2012-11-19T01:15:26	René Rouquet
340	65761859	80.13.81.226	2011-05-27T14:05:42	Adresse IP
341	65761959	80.13.81.226	2011-05-27T14:07:24	Adresse IP
342	104163318	78.236.26.72	2014-05-27T17:10:12	Saint-Quentin
343	63700856	82.249.22.61	2011-03-26T14:33:02	Arobase
344	140670863	90.32.166.101	2017-09-14T21:02:26	Guédelon
345	110563193	88.219.191.86	2015-01-03T23:48:51	Tarn (rivière)
346	110563305	88.219.191.86	2015-01-03T23:53:28	Tarn (rivière)
347	110563376	88.219.191.86	2015-01-03T23:56:34	Tarn (rivière)
348	108012858	88.123.232.3	2014-10-06T16:42:23	François Truffaut
349	69747011	77.197.163.113	2011-09-16T15:46:56	Manuel Valls
350	85108742	204.124.83.131	2012-11-09T11:03:27	Manuel Valls
351	105991561	41.108.21.64	2014-08-04T16:50:50	Luc Besson
352	99052837	81.243.60.230	2013-12-09T14:04:19	Première Guerre mondiale
353	79129022	90.36.32.79	2012-05-27T11:07:56	Saint-Denis (Seine-Saint-Denis)
354	118447734	92.158.194.244	2015-09-08T09:19:10	Saint-Denis (Seine-Saint-Denis)
355	78624742	77.197.163.180	2012-05-12T19:58:45	Villefranche-de-Rouergue
356	117813767	81.11.214.76	2015-08-18T03:24:09	Jean Yanne
357	60453962	62.193.242.154	2010-12-22T05:24:48	René Descartes
358	82459497	60.242.34.204	2012-08-29T14:07:06	Cisjordanie
359	114866243	83.114.67.152	2015-05-09T16:41:01	Alphonse Daudet
360	100470482	109.213.184.33	2014-01-21T17:36:52	Ésotérisme
361	107545080	93.15.153.19	2014-09-18T07:11:58	Ésotérisme
362	56253876	209.107.217.119	2010-08-18T02:06:32	1204
363	132916286	88.219.191.116	2016-12-21T22:06:39	Liste des papes
364	115485385	88.171.81.129	2015-05-29T19:32:19	1192
365	64388477	93.182.137.61	2011-04-16T08:35:50	Quentin Tarantino
366	76408521	86.216.232.36	2012-03-07T13:53:54	Zéro
367	112017345	86.195.120.145	2015-02-20T08:58:07	Marc Bourgne
368	112017419	86.195.120.145	2015-02-20T09:01:25	Marc Bourgne
369	112017440	86.195.120.145	2015-02-20T09:02:18	Marc Bourgne
370	73949239	85.1.72.247	2012-01-05T14:29:39	Argent
371	98482857	90.7.125.241	2013-11-19T16:22:04	Jacques Brel
372	116227355	82.230.29.17	2015-06-23T00:23:05	Simone de Beauvoir
373	116227447	82.230.29.17	2015-06-23T00:29:33	Simone de Beauvoir
374	97982614	90.32.121.113	2013-11-03T10:39:48	Auguste de Villiers de L'Isle-Adam
375	97982760	90.32.121.113	2013-11-03T10:43:20	Auguste de Villiers de L'Isle-Adam
376	97983602	90.32.121.113	2013-11-03T11:06:31	Auguste de Villiers de L'Isle-Adam
377	109951709	90.5.6.220	2014-12-14T15:54:05	Cthulhu
378	63703887	82.249.22.61	2011-03-26T16:10:32	Groenland
379	97138173	90.46.174.137	2013-10-01T10:28:40	Groenland
380	103812166	86.209.20.253	2014-05-14T15:38:33	Steven Spielberg
381	51865896	93.2.187.14	2010-04-04T18:00:52	Pédagogie
382	86475060	129.194.8.73	2012-12-12T20:16:31	Jacques Tati
383	86475135	129.194.8.73	2012-12-12T20:19:23	Jacques Tati
384	86475181	129.194.8.73	2012-12-12T20:21:25	Jacques Tati
385	81488962	92.155.211.244	2012-08-02T10:55:00	Walt Whitman
386	81488981	92.155.211.244	2012-08-02T10:55:29	Walt Whitman
387	141441186	90.32.21.184	2017-10-11T18:43:37	Ça (roman)
388	141441217	90.32.21.184	2017-10-11T18:44:31	Ça (roman)
389	123108783	88.219.191.32	2016-02-07T09:52:42	Maurice Renard (écrivain)
390	59438698	90.30.0.144	2010-11-21T11:04:54	Abraham Lincoln
391	132887254	64.235.110.226	2016-12-20T19:50:16	Le Petit Prince
392	123117412	88.219.191.32	2016-02-07T14:49:11	Hiers-Brouage
393	97769243	82.65.127.91	2013-10-26T08:47:33	Sébastien Le Prestre de Vauban
394	87240244	89.187.142.208	2013-01-04T00:09:25	Juan Manuel Fangio
395	113937117	83.112.190.113	2015-04-17T10:25:28	Juan Manuel Fangio
396	113937145	83.112.190.113	2015-04-17T10:26:19	Juan Manuel Fangio
397	54079150	143.89.188.2	2010-06-08T07:14:47	Hong Kong
398	110067502	90.15.77.210	2014-12-18T19:08:54	Munich
399	100316935	82.248.77.57	2014-01-16T18:16:29	Atlanta
400	100317062	82.248.77.57	2014-01-16T18:19:44	Atlanta
401	54976032	89.80.108.70	2010-07-05T19:29:58	Maquis (résistance)
402	63733953	83.134.89.92	2011-03-27T14:06:49	Stupeur et Tremblements
403	119841698	88.219.191.62	2015-10-25T16:23:23	Plogastel-Saint-Germain
